INFO  - 2016-09-20 19:20:27.828; [   ] org.eclipse.jetty.util.log.Log; Logging initialized @1008ms
INFO  - 2016-09-20 19:20:28.611; [   ] org.eclipse.jetty.server.Server; jetty-9.3.8.v20160314
INFO  - 2016-09-20 19:20:28.651; [   ] org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor [file:///home/popy/dropbox/Dropbox/devs/gitpopy/modele/mydjango/solr-6.2.1/server/contexts/] at interval 0
INFO  - 2016-09-20 19:20:29.029; [   ] org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
WARN  - 2016-09-20 19:20:29.054; [   ] org.eclipse.jetty.security.ConstraintSecurityHandler; ServletContext@o.e.j.w.WebAppContext@5bcab519{/solr,file:///home/popy/dropbox/Dropbox/devs/gitpopy/modele/mydjango/solr-6.2.1/server/solr-webapp/webapp/,STARTING}{/home/popy/dropbox/Dropbox/devs/gitpopy/modele/mydjango/solr-6.2.1/server/solr-webapp/webapp} has uncovered http methods for path: /
INFO  - 2016-09-20 19:20:29.084; [   ] org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init(): WebAppClassLoader=1344645519@5025a98f
INFO  - 2016-09-20 19:20:29.114; [   ] org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-09-20 19:20:29.114; [   ] org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /home/popy/dropbox/Dropbox/devs/gitpopy/modele/mydjango/solr-6.2.1/example/example-DIH/solr
INFO  - 2016-09-20 19:20:29.118; [   ] org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/popy/dropbox/Dropbox/devs/gitpopy/modele/mydjango/solr-6.2.1/example/example-DIH/solr'
INFO  - 2016-09-20 19:20:29.119; [   ] org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-09-20 19:20:29.119; [   ] org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /home/popy/dropbox/Dropbox/devs/gitpopy/modele/mydjango/solr-6.2.1/example/example-DIH/solr
INFO  - 2016-09-20 19:20:29.139; [   ] org.apache.solr.core.SolrXmlConfig; Loading container configuration from /home/popy/dropbox/Dropbox/devs/gitpopy/modele/mydjango/solr-6.2.1/example/example-DIH/solr/solr.xml
INFO  - 2016-09-20 19:20:29.290; [   ] org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/popy/dropbox/Dropbox/devs/gitpopy/modele/mydjango/solr-6.2.1/example/example-DIH/solr
INFO  - 2016-09-20 19:20:29.349; [   ] org.apache.solr.core.CoreContainer; New CoreContainer 103536485
INFO  - 2016-09-20 19:20:29.349; [   ] org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/home/popy/dropbox/Dropbox/devs/gitpopy/modele/mydjango/solr-6.2.1/example/example-DIH/solr]
